"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Galio","Middle",2,"6.7%","23.3%","36.7%","0%","100%",3,9,16,2.1,"67.9%","15.5%","0%",-623,-390,-19.5,6.5,"19.1%",303,"16.0%","18.2%",0.4,0.01
"Galio","Support",2,"6.7%","23.3%","36.7%","50%","50%",2,4,9,2.8,"55.0%","17.4%","0%",342,-137,0.5,1.1,"2.7%",126,"8.5%","8.5%",1.77,0.25
"Gangplank","Top",8,"26.7%","36.7%","63.3%","38%","38%",17,29,31,1.7,"61.5%","23.6%","50%",254,-89,10.4,8.1,"26.0%",610,"32.0%","25.7%",0.43,0.08
"Gnar","Top",8,"26.7%","20.0%","46.7%","38%","50%",17,29,46,2.2,"65.6%","25.9%","13%",107,57,2,7.1,"21.4%",477,"24.6%","20.8%",0.45,0.16
"Gragas","Jungle",1,"3.3%","16.7%","46.7%","100%","0%",0,2,7,3.5,"41.2%","40.0%","100%",-81,-591,-19,5.2,"13.9%",181,"11.8%","13.7%",0.99,0.19
"Gragas","Top",8,"26.7%","16.7%","46.7%","50%","38%",19,20,55,3.7,"59.7%","18.5%","0%",-325,207,-7.9,6.8,"21.0%",378,"21.7%","19.7%",0.43,0.13
"Graves","Jungle",9,"30.0%","10.0%","40.0%","22%","33%",13,23,37,2.2,"61.7%","17.8%","56%",-103,-215,-0.9,6.8,"21.1%",285,"18.0%","20.0%",0.31,0.42
"Hecarim","Jungle",5,"16.7%","26.7%","43.3%","80%","60%",17,11,38,5,"63.2%","26.2%","60%",42,-302,-1.8,6.4,"17.3%",308,"18.0%","19.0%",0.36,0.41
"Irelia","Top",1,"3.3%","13.3%","16.7%","100%","100%",4,3,4,2.7,"57.1%","50.0%","100%",620,792,8,9,"30.0%",344,"21.5%","28.3%",0.42,0.14
"Ivern","Top",1,"3.3%","0.0%","3.3%","0%","100%",0,1,10,10,"66.7%","11.1%","0%",-1039,-550,-33,5.6,"16.1%",213,"15.5%","14.9%",0.38,0.13
"Jarvan IV","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Top",2,"6.7%","3.3%","10.0%","100%","100%",9,3,12,7,"51.2%","18.8%","100%",639,307,5,8,"22.5%",342,"19.3%","21.7%",0.54,0.18
"Jayce","-",0,"0%","16.7%","16.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jhin","ADC",1,"3.3%","3.3%","6.7%","0%","0%",0,1,2,2,"66.7%","8.3%","100%",25,17,1,8.8,"28.4%",229,"20.7%","24.6%",0.37,0.21
"Kai'Sa","ADC",22,"73.3%","23.3%","96.7%","41%","9%",105,46,77,4,"66.7%","14.4%","27%",82,107,9.6,9.1,"30.8%",422,"24.1%","27.0%",0.5,0.3
"Kalista","ADC",1,"3.3%","3.3%","6.7%","100%","100%",6,0,4,10,"62.5%","0.0%","100%",1273,1077,23,9.9,"32.4%",358,"25.7%","29.5%",0.52,0.65
"Karma","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kayn","Jungle",1,"3.3%","0.0%","3.3%","100%","100%",4,3,7,3.7,"52.4%","33.3%","100%",-258,-60,8,6.5,"26.8%",531,"20.5%","19.9%",0.19,0.06
"Kennen","Top",2,"6.7%","0.0%","6.7%","0%","50%",3,5,4,1.4,"77.8%","19.2%","0%",-209,-448,2.5,8.1,"25.5%",316,"28.9%","24.4%",0.6,0.2
"Kindred","Jungle",1,"3.3%","3.3%","6.7%","100%","100%",6,1,6,12,"75.0%","25.0%","0%",-85,98,-5,7.8,"25.3%",368,"18.3%","23.8%",0.17,0.7
