"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ornn","Top",24,"17.0%","29.1%","46.1%","25%","58%",17,60,117,2.2,"57.3%","19.1%","13%",-432,-249,-12.6,7.5,"21.4%",327,"19.0%","18.9%",0.46,0.14
"Pantheon","Jungle",32,"22.7%","66.7%","90.1%","72%","22%",129,69,174,4.4,"64.2%","22.5%","41%",38,-111,-4.9,5.9,"16.1%",361,"17.7%","19.1%",0.59,0.37
"Pantheon","Middle",1,"0.7%","66.7%","90.1%","0%","0%",3,3,9,4,"70.6%","21.4%","0%",-445,-762,-25,7.1,"20.8%",260,"15.3%","19.7%",0.57,0.1
"Quinn","Top",1,"0.7%","0.0%","0.7%","100%","100%",14,2,7,10.5,"63.6%","10.0%","-","-","-","-","-","-",1293,"40.6%","29.7%",0.39,0.16
"Rakan","Support",7,"5.0%","5.7%","10.6%","71%","86%",6,15,93,6.6,"78.0%","18.8%","29%",228,144,-6,1,"2.8%",178,"7.7%","9.9%",2.39,0.52
"Rek'Sai","Jungle",1,"0.7%","0.0%","0.7%","0%","100%",4,6,2,1,"54.5%","40.0%","0%",-202,-278,-11,4.4,"11.1%",200,"15.7%","16.1%",0.3,0.51
"Rell","Support",35,"24.8%","6.4%","31.2%","69%","26%",24,108,331,3.3,"65.5%","27.1%","11%",22,52,0.5,1.2,"2.4%",150,"7.2%","8.7%",1.54,0.32
"Renekton","Middle",7,"5.0%","47.5%","84.4%","86%","0%",23,20,52,3.8,"62.0%","23.0%","14%",-8,-164,-4.2,8.8,"25.2%",438,"20.8%","22.3%",0.45,0.25
"Renekton","Top",45,"31.9%","47.5%","84.4%","49%","9%",84,110,231,2.9,"54.4%","17.9%","9%",138,43,4.1,8.5,"24.6%",381,"21.6%","22.0%",0.41,0.2
"Rengar","-",0,"0%","0.7%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Middle",6,"4.3%","0.7%","7.1%","50%","83%",13,11,39,4.7,"61.2%","13.9%","17%",-458,-207,-6.4,7.7,"20.8%",488,"25.4%","19.6%",0.48,0.12
"Rumble","Top",3,"2.1%","0.7%","7.1%","33%","67%",5,10,25,3,"56.6%","20.0%","0%",59,334,4,6.3,"16.5%",487,"23.8%","15.4%",0.36,0.18
"Ryze","Middle",10,"7.1%","5.7%","12.8%","70%","70%",36,24,69,4.4,"63.3%","21.4%","30%",79,-40,1,9.9,"27.8%",459,"22.1%","24.1%",0.41,0.17
"Samira","ADC",34,"24.1%","34.0%","58.2%","44%","38%",145,83,130,3.3,"67.1%","19.5%","18%",125,-39,-0.1,9.7,"30.3%",410,"22.1%","26.8%",0.39,0.35
"Sejuani","Jungle",6,"4.3%","2.1%","6.4%","67%","100%",5,12,49,4.5,"67.5%","15.0%","17%",-286,-451,-12.4,5.2,"13.2%",225,"13.3%","15.9%",0.36,0.44
"Senna","ADC",6,"4.3%","2.1%","6.4%","33%","83%",12,22,56,3.1,"87.2%","25.0%","50%",20,100,-5.4,8.4,"28.6%",510,"26.5%","24.6%",0.34,0.26
"Seraphine","Middle",1,"0.7%","7.1%","9.9%","100%","0%",4,1,9,13,"81.3%","16.7%","100%",-101,-478,-9,8.7,"20.8%",418,"16.1%","23.0%",0.38,0.17
"Seraphine","Support",3,"2.1%","7.1%","9.9%","100%","100%",2,5,24,5.2,"78.8%","27.8%","33%",135,-253,-8.3,0.8,"2.2%",204,"10.3%","9.4%",1.71,0.36
"Sett","Middle",3,"2.1%","16.3%","34.8%","67%","67%",5,8,27,4,"82.1%","25.0%","33%",-1097,-224,-12.5,7.6,"15.4%",350,"18.5%","18.3%",0.33,0.22
"Sett","Support",23,"16.3%","16.3%","34.8%","52%","74%",28,83,180,2.5,"60.1%","26.4%","48%",-25,-79,-1.5,1.4,"3.6%",190,"9.8%","9.1%",1.65,0.53
"Shen","Support",2,"1.4%","0.0%","2.1%","50%","100%",2,6,14,2.7,"64.0%","28.6%","0%",-139,-117,-2,1.5,"3.9%",87,"5.7%","10.0%",2.6,0.63
"Shen","Top",1,"0.7%","0.0%","2.1%","100%","100%",3,1,13,16,"80.0%","12.5%","0%",185,-256,-10,8.1,"25.1%",370,"19.1%","19.8%",0.61,0.11
"Sion","Top",1,"0.7%","0.0%","0.7%","0%","100%",2,5,2,0.8,"44.4%","25.0%","-","-","-","-","-","-",391,"19.2%","20.3%",0.22,0.22
"Sylas","Middle",3,"2.1%","0.7%","5.0%","100%","67%",15,1,22,37,"77.1%","5.0%","0%",-122,-203,4,9.7,"27.8%",575,"28.3%","24.7%",0.43,0.18
"Sylas","Top",3,"2.1%","0.7%","5.0%","67%","100%",12,7,21,4.7,"58.9%","17.5%","0%",-582,-524,-15.7,7.3,"23.5%",451,"22.0%","20.5%",0.4,0.15
"Syndra","Middle",39,"27.7%","31.9%","60.3%","33%","51%",91,93,174,2.8,"64.8%","16.2%","23%",106,-19,4.6,8.5,"24.4%",493,"27.5%","22.8%",0.41,0.22
"Syndra","Top",1,"0.7%","31.9%","60.3%","0%","0%",1,4,3,1,"57.1%","20.0%","-","-","-","-","-","-",538,"27.1%","21.1%",0.45,0.07
"Tahm Kench","Support",1,"0.7%","0.0%","0.7%","0%","100%",0,3,7,2.3,"58.3%","12.0%","0%",-360,529,2,1.2,"2.7%",117,"6.8%","7.5%",1.49,0.3
"Taliyah","Jungle",16,"11.3%","25.5%","36.9%","75%","38%",62,48,124,3.9,"69.7%","22.2%","19%",36,214,3.6,6.8,"19.3%",479,"22.3%","20.3%",0.52,0.34
"Taric","Support",1,"0.7%","0.0%","0.7%","0%","100%",0,5,6,1.2,"46.2%","22.7%","100%",-296,148,-3,1.2,"2.9%",65,"3.0%","8.4%",1.56,0.32
"Thresh","Support",35,"24.8%","22.0%","46.8%","54%","34%",20,111,305,2.9,"72.4%","25.2%","17%",16,-26,1.2,1.1,"2.0%",100,"5.3%","8.6%",1.68,0.36
"Tristana","ADC",12,"8.5%","11.3%","19.9%","42%","58%",37,33,44,2.5,"57.9%","20.5%","42%",-198,-32,-5.1,9.2,"31.2%",351,"21.9%","26.2%",0.46,0.36
"Trundle","Jungle",2,"1.4%","0.0%","1.4%","50%","100%",1,7,13,2,"56.0%","33.3%","0%",-958,-1313,-11,4.9,"8.8%",219,"9.4%","14.6%",0.28,0.24
"Twisted Fate","Middle",23,"16.3%","47.5%","63.8%","57%","52%",49,59,181,3.9,"71.2%","21.1%","26%",282,-136,-4.1,8.2,"22.5%",404,"21.8%","23.7%",0.38,0.19
"Udyr","Jungle",30,"21.3%","8.5%","29.8%","50%","37%",69,70,191,3.7,"69.3%","18.6%","33%",308,378,7.8,6.3,"16.0%",217,"11.5%","19.2%",0.39,0.52
"Varus","ADC",2,"1.4%","0.7%","2.1%","100%","100%",4,4,17,5.3,"70.0%","22.2%","0%",172,177,14.5,9.4,"28.1%",898,"38.5%","24.3%",0.52,0.53
"Vayne","ADC",13,"9.2%","3.5%","13.5%","46%","100%",45,43,47,2.1,"63.0%","22.8%","0%",-318,-123,-6.2,9.4,"29.6%",393,"20.3%","25.4%",0.38,0.41
"Vayne","Top",1,"0.7%","3.5%","13.5%","0%","100%",1,5,2,0.6,"20.0%","21.7%","0%",324,530,17,7.8,"25.7%",514,"23.7%","20.6%",0.36,0.46
"Viktor","Middle",19,"13.5%","5.7%","19.1%","47%","74%",55,45,87,3.2,"63.1%","18.3%","5%",-324,-97,-4.4,8.9,"26.4%",592,"31.0%","23.4%",0.44,0.16
"Volibear","Top",3,"2.1%","2.1%","4.3%","0%","67%",6,9,12,2,"66.7%","16.7%","33%",-237,-160,-12.3,7.3,"23.6%",390,"20.0%","22.3%",0.32,0.2
"Wukong","Top",3,"2.1%","0.7%","2.8%","33%","100%",6,13,14,1.5,"60.6%","27.7%","67%",-237,-312,-7.3,6.5,"20.9%",399,"18.3%","18.7%",0.44,0.09
"Xayah","ADC",48,"34.0%","12.1%","46.1%","52%","88%",202,109,275,4.4,"70.9%","17.8%","19%",55,-26,-0.9,10.2,"33.9%",536,"26.7%","27.6%",0.43,0.38
"Yone","Middle",4,"2.8%","11.3%","14.2%","50%","50%",10,13,21,2.4,"50.8%","19.7%","0%",-115,15,-9.7,8.1,"24.0%",445,"18.7%","20.3%",0.29,0.26
"Zilean","-",0,"0%","2.1%","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zoe","Middle",37,"26.2%","53.2%","79.4%","51%","30%",131,65,192,5,"66.5%","14.0%","27%",202,-13,0.6,8.1,"21.3%",573,"29.1%","22.3%",0.36,0.21
