"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Thresh","Support",10,"22.2%","66.7%","88.9%","50%","0%",9,31,65,2.4,"70.5%","30.4%","30%",-18,162,3.7,1.1,"2.7%",97,"6.2%","9.0%",1.55,0.38
"Tristana","ADC",1,"2.2%","6.7%","11.1%","0%","100%",2,6,1,0.5,"100.0%","37.5%","0%",-458,26,3,8.3,"25.1%",190,"18.2%","23.7%",0.48,0.28
"Tristana","Middle",1,"2.2%","6.7%","11.1%","0%","100%",2,6,5,1.2,"77.8%","26.1%","0%",124,-333,1,8.4,"26.3%",473,"24.5%","28.0%",0.44,0.34
"Twisted Fate","Middle",12,"26.7%","71.1%","97.8%","83%","0%",28,14,104,9.4,"75.0%","14.7%","33%",254,-74,-5.3,8.2,"23.7%",496,"26.9%","23.7%",0.36,0.17
"Udyr","Jungle",8,"17.8%","35.6%","53.3%","38%","50%",16,17,34,2.9,"62.5%","15.6%","13%",59,66,5.4,6.1,"16.2%",163,"10.1%","18.8%",0.4,0.39
"Vayne","ADC",5,"11.1%","2.2%","13.3%","60%","100%",27,11,22,4.5,"58.3%","20.4%","20%",-123,-152,-13.2,9,"28.8%",369,"20.6%","25.6%",0.41,0.3
"Viktor","Middle",6,"13.3%","2.2%","15.6%","17%","100%",10,20,23,1.7,"55.0%","19.0%","17%",-147,-26,-1.3,9,"28.1%",522,"30.3%","24.1%",0.42,0.19
"Vladimir","Top",1,"2.2%","0.0%","2.2%","0%","0%",0,6,2,0.3,"28.6%","24.0%","0%",-658,-296,2,7.3,"24.4%",267,"18.1%","19.0%",0.38,0.03
"Volibear","Top",5,"11.1%","4.4%","15.6%","60%","100%",16,17,29,2.6,"55.6%","24.6%","0%",-207,-79,-8,7.3,"23.6%",403,"22.2%","20.6%",0.45,0.15
"Wukong","Top",1,"2.2%","0.0%","2.2%","100%","100%",11,6,5,2.7,"55.2%","28.6%","0%",198,-511,2,6,"17.3%",484,"19.7%","24.5%",0.53,0.2
"Xayah","ADC",12,"26.7%","15.6%","42.2%","67%","83%",49,27,74,4.6,"72.8%","19.1%","33%",71,18,-3.4,9.4,"32.0%",498,"26.5%","27.5%",0.42,0.27
"Yone","Middle",1,"2.2%","0.0%","2.2%","0%","100%",1,2,3,2,"80.0%","10.5%","0%",-440,198,3,9.6,"29.7%",119,"10.0%","26.0%",0.37,0.14
"Zoe","Middle",4,"8.9%","24.4%","33.3%","50%","50%",15,8,20,4.4,"53.8%","15.7%","0%",-116,-82,-5.3,8,"25.4%",522,"29.2%","22.5%",0.42,0.2
